Time	Channel B
(s)	(V)

5.54259986	-1.20546900
5.54279986	-1.20553000
5.54299986	-1.20571400
5.54319986	-1.20595800
5.54339986	-1.20620200
5.54359986	-1.20638500
5.54379986	-1.20644600
5.54399986	-1.20638500
5.54419986	-1.20620200
5.54439986	-1.20601900
5.54459986	-1.20583600
5.54479986	-1.20583600
5.54499986	-1.20589700
5.54519986	-1.20601900
5.54539986	-1.20614100
5.54559986	-1.20626300
5.54579986	-1.20644600
5.54599986	-1.20656800
5.54619986	-1.20681200
5.54639986	-1.20705700
5.54659986	-1.20730100
5.54679986	-1.20748400
5.54699986	-1.20760600
5.54719986	-1.20754500
5.54739986	-1.20742300
5.54759986	-1.20724000
5.54779986	-1.20693400
5.54799986	-1.20669000
5.54819986	-1.20638500
5.54839986	-1.20614100
5.54859986	-1.20601900
5.54879986	-1.20601900
5.54899986	-1.20608000
5.54919986	-1.20626300
5.54939986	-1.20638500
5.54959986	-1.20644600
5.54979986	-1.20644600
5.54999986	-1.20644600
5.55019986	-1.20644600
5.55039986	-1.20650700
5.55059986	-1.20669000
5.55079986	-1.20687300
5.55099986	-1.20705700
5.55119986	-1.20711800
5.55139986	-1.20717900
5.55159986	-1.20711800
5.55179986	-1.20711800
5.55199986	-1.20711800
5.55219986	-1.20711800
5.55239986	-1.20711800
5.55259986	-1.20705700
5.55279986	-1.20699500
5.55299986	-1.20699500
5.55319986	-1.20699500
5.55339986	-1.20705700
5.55359986	-1.20717900
5.55379986	-1.20730100
5.55399986	-1.20736200
5.55419986	-1.20730100
5.55439986	-1.20724000
5.55459986	-1.20724000
5.55479986	-1.20736200
5.55499986	-1.20760600
5.55519986	-1.20785000
5.55539986	-1.20803300
5.55559986	-1.20815500
5.55579986	-1.20809400
5.55599986	-1.20797200
5.55619986	-1.20778900
5.55639986	-1.20760600
5.55659986	-1.20754500
5.55679986	-1.20760600
5.55699986	-1.20772800
5.55719986	-1.20791100
5.55739986	-1.20821600
5.55759986	-1.20852200
5.55779986	-1.20876600
5.55799986	-1.20901000
5.55819986	-1.20907100
5.55839986	-1.20901000
5.55859986	-1.20876600
5.55879986	-1.20839900
5.55899986	-1.20815500
5.55919986	-1.20803300
5.55939986	-1.20809400
5.55959986	-1.20821600
5.55979986	-1.20839900
5.55999986	-1.20852200
5.56019986	-1.20858300
5.56039986	-1.20852200
5.56059986	-1.20833800
5.56079986	-1.20821600
5.56099986	-1.20803300
5.56119986	-1.20791100
5.56139986	-1.20766700
5.56159986	-1.20742300
5.56179986	-1.20711800
5.56199986	-1.20675100
5.56219986	-1.20650700
5.56239986	-1.20638500
5.56259986	-1.20650700
5.56279986	-1.20669000
5.56299986	-1.20705700
5.56319986	-1.20736200
5.56339986	-1.20766700
5.56359986	-1.20791100
5.56379986	-1.20803300
5.56399986	-1.20803300
5.56419986	-1.20791100
5.56439986	-1.20772800
5.56459986	-1.20748400
5.56479986	-1.20736200
5.56499986	-1.20736200
5.56519986	-1.20754500
5.56539986	-1.20778900
5.56559986	-1.20809400
5.56579986	-1.20827700
5.56599986	-1.20839900
5.56619986	-1.20839900
5.56639986	-1.20827700
5.56659986	-1.20821600
5.56679986	-1.20809400
5.56699986	-1.20797200
5.56719986	-1.20785000
5.56739986	-1.20772800
5.56759986	-1.20760600
5.56779986	-1.20748400
5.56799986	-1.20742300
5.56819986	-1.20730100
5.56839986	-1.20717900
5.56859986	-1.20705700
5.56879986	-1.20693400
5.56899986	-1.20693400
5.56919986	-1.20699500
5.56939986	-1.20724000
5.56959986	-1.20748400
5.56979986	-1.20778900
5.56999986	-1.20803300
5.57019986	-1.20815500
5.57039986	-1.20833800
5.57059986	-1.20833800
5.57079986	-1.20833800
5.57099986	-1.20827700
5.57119986	-1.20827700
5.57139986	-1.20821600
5.57159986	-1.20821600
5.57179986	-1.20821600
5.57199986	-1.20821600
5.57219986	-1.20821600
5.57239986	-1.20809400
5.57259986	-1.20785000
5.57279986	-1.20754500
5.57299986	-1.20724000
5.57319986	-1.20699500
5.57339986	-1.20681200
5.57359986	-1.20675100
5.57379986	-1.20669000
5.57399986	-1.20675100
5.57419986	-1.20675100
5.57439986	-1.20681200
5.57459986	-1.20693400
5.57479986	-1.20705700
5.57499986	-1.20730100
5.57519986	-1.20748400
5.57539986	-1.20772800
5.57559986	-1.20785000
5.57579986	-1.20791100
5.57599986	-1.20791100
5.57619986	-1.20785000
5.57639986	-1.20772800
5.57659986	-1.20760600
5.57679986	-1.20742300
5.57699986	-1.20724000
5.57719986	-1.20705700
5.57739986	-1.20693400
5.57759986	-1.20681200
5.57779986	-1.20675100
5.57799986	-1.20675100
5.57819986	-1.20675100
5.57839986	-1.20681200
5.57859986	-1.20681200
5.57879986	-1.20681200
5.57899986	-1.20681200
5.57919986	-1.20681200
5.57939986	-1.20699500
5.57959986	-1.20717900
5.57979986	-1.20736200
5.57999986	-1.20754500
5.58019986	-1.20772800
5.58039986	-1.20785000
5.58059986	-1.20809400
5.58079986	-1.20827700
5.58099986	-1.20858300
5.58119986	-1.20876600
5.58139986	-1.20882700
5.58159986	-1.20876600
5.58179986	-1.20870500
5.58199986	-1.20846000
5.58219986	-1.20821600
5.58239986	-1.20797200
5.58259986	-1.20778900
5.58279986	-1.20754500
5.58299986	-1.20736200
5.58319986	-1.20717900
5.58339986	-1.20699500
5.58359986	-1.20687300
5.58379986	-1.20675100
5.58399986	-1.20662900
5.58419986	-1.20650700
5.58439986	-1.20638500
5.58459986	-1.20632400
5.58479986	-1.20626300
5.58499986	-1.20626300
5.58519986	-1.20626300
5.58539986	-1.20632400
5.58559986	-1.20644600
5.58579986	-1.20662900
5.58599986	-1.20693400
5.58619986	-1.20717900
5.58639986	-1.20724000
5.58659986	-1.20711800
5.58679986	-1.20687300
5.58699986	-1.20656800
5.58719986	-1.20626300
5.58739986	-1.20601900
5.58759986	-1.20595800
5.58779986	-1.20601900
5.58799986	-1.20620200
5.58819986	-1.20644600
5.58839986	-1.20656800
5.58859986	-1.20662900
5.58879986	-1.20662900
5.58899986	-1.20644600
5.58919986	-1.20632400
5.58939986	-1.20626300
5.58959986	-1.20626300
5.58979986	-1.20638500
5.58999986	-1.20650700
5.59019986	-1.20656800
5.59039986	-1.20656800
5.59059986	-1.20644600
5.59079986	-1.20626300
5.59099986	-1.20608000
5.59119986	-1.20601900
5.59139986	-1.20595800
5.59159986	-1.20608000
5.59179986	-1.20614100
5.59199986	-1.20620200
5.59219986	-1.20620200
5.59239986	-1.20620200
5.59259986	-1.20620200
5.59279986	-1.20614100
5.59299986	-1.20614100
5.59319986	-1.20620200
5.59339986	-1.20626300
5.59359986	-1.20632400
5.59379986	-1.20644600
5.59399986	-1.20644600
5.59419986	-1.20638500
5.59439986	-1.20620200
5.59459986	-1.20595800
5.59479986	-1.20559200
5.59499986	-1.20522500
5.59519986	-1.20504200
5.59539986	-1.20492000
5.59559986	-1.20498100
5.59579986	-1.20522500
5.59599986	-1.20553000
5.59619986	-1.20577500
5.59639986	-1.20595800
5.59659986	-1.20595800
5.59679986	-1.20583600
5.59699986	-1.20559200
5.59719986	-1.20534700
5.59739986	-1.20522500
5.59759986	-1.20522500
5.59779986	-1.20534700
5.59799986	-1.20559200
5.59819986	-1.20583600
5.59839986	-1.20608000
5.59859986	-1.20608000
5.59879986	-1.20595800
5.59899986	-1.20565300
5.59919986	-1.20534700
5.59939986	-1.20498100
5.59959986	-1.20479800
5.59979986	-1.20461500
5.59999986	-1.20455400
5.60019986	-1.20449300
5.60039986	-1.20449300
5.60059986	-1.20455400
5.60079986	-1.20473700
5.60099986	-1.20492000
5.60119986	-1.20504200
5.60139986	-1.20510300
5.60159986	-1.20504200
5.60179986	-1.20492000
5.60199986	-1.20479800
5.60219986	-1.20473700
5.60239986	-1.20467600
5.60259986	-1.20461500
5.60279986	-1.20449300
5.60299986	-1.20437100
5.60319986	-1.20418800
5.60339986	-1.20406500
5.60359986	-1.20394300
5.60379986	-1.20394300
5.60399986	-1.20394300
5.60419986	-1.20406500
5.60439986	-1.20406500
5.60459986	-1.20400400
5.60479986	-1.20388200
5.60499986	-1.20369900
5.60519986	-1.20357700
5.60539986	-1.20357700
5.60559986	-1.20369900
5.60579986	-1.20394300
5.60599986	-1.20424900
5.60619986	-1.20449300
5.60639986	-1.20455400
5.60659986	-1.20455400
5.60679986	-1.20443200
5.60699986	-1.20424900
5.60719986	-1.20412600
5.60739986	-1.20412600
5.60759986	-1.20412600
5.60779986	-1.20418800
5.60799986	-1.20424900
5.60819986	-1.20424900
5.60839986	-1.20424900
5.60859986	-1.20431000
5.60879986	-1.20424900
5.60899986	-1.20424900
5.60919986	-1.20418800
5.60939986	-1.20394300
5.60959986	-1.20363800
5.60979986	-1.20333300
5.60999986	-1.20302800
5.61019986	-1.20284500
5.61039986	-1.20284500
5.61059986	-1.20296700
5.61079986	-1.20315000
5.61099986	-1.20327200
5.61119986	-1.20327200
5.61139986	-1.20315000
5.61159986	-1.20302800
5.61179986	-1.20290600
5.61199986	-1.20284500
5.61219986	-1.20296700
5.61239986	-1.20308900
5.61259986	-1.20333300
5.61279986	-1.20357700
5.61299986	-1.20388200
5.61319986	-1.20412600
5.61339986	-1.20431000
5.61359986	-1.20443200
5.61379986	-1.20443200
5.61399986	-1.20431000
5.61419986	-1.20412600
5.61439986	-1.20394300
5.61459986	-1.20376000
5.61479986	-1.20357700
5.61499986	-1.20339400
5.61519986	-1.20321100
5.61539986	-1.20302800
5.61559986	-1.20296700
5.61579986	-1.20296700
5.61599986	-1.20302800
5.61619986	-1.20308900
5.61639986	-1.20315000
5.61659986	-1.20315000
5.61679986	-1.20308900
5.61699986	-1.20308900
5.61719986	-1.20302800
5.61739986	-1.20302800
5.61759986	-1.20290600
5.61779986	-1.20272300
5.61799986	-1.20260000
5.61819986	-1.20247800
5.61839986	-1.20235600
5.61859986	-1.20223400
5.61879986	-1.20217300
5.61899986	-1.20199000
5.61919986	-1.20174600
5.61939986	-1.20150200
5.61959986	-1.20131900
5.61979986	-1.20119600
5.61999986	-1.20101300
5.62019986	-1.20095200
5.62039986	-1.20095200
5.62059986	-1.20107400
5.62079986	-1.20125700
5.62099986	-1.20144100
5.62119986	-1.20168500
5.62139986	-1.20192900
5.62159986	-1.20211200
5.62179986	-1.20211200
5.62199986	-1.20199000
5.62219986	-1.20168500
5.62239986	-1.20138000
5.62259986	-1.20107400
5.62279986	-1.20083000
5.62299986	-1.20083000
5.62319986	-1.20101300
5.62339986	-1.20119600
5.62359986	-1.20144100
5.62379986	-1.20162400
5.62399986	-1.20162400
5.62419986	-1.20162400
5.62439986	-1.20156300
5.62459986	-1.20144100
5.62479986	-1.20138000
5.62499986	-1.20131900
5.62519986	-1.20125700
5.62539986	-1.20119600
5.62559986	-1.20113500
5.62579986	-1.20107400
5.62599986	-1.20089100
5.62619986	-1.20070800
5.62639986	-1.20058600
5.62659986	-1.20046400
5.62679986	-1.20058600
5.62699986	-1.20089100
5.62719986	-1.20125700
5.62739986	-1.20156300
5.62759986	-1.20174600
