Time	Channel A
(s)	(V)

5.90837787	-1.73361000
5.90862789	-1.73361000
5.90887790	-1.73849300
5.90912792	-1.72872700
5.90937794	-1.73361000
5.90962795	-1.74337700
5.90987797	-1.74337700
5.91012798	-1.72384300
5.91037800	-1.72872700
5.91062802	-1.73361000
5.91087803	-1.74337700
5.91112805	-1.70919300
5.91137806	-1.73361000
5.91162808	-1.72872700
5.91187810	-1.74337700
5.91212811	-1.73849300
5.91237813	-1.72872700
5.91262814	-1.72384300
5.91287816	-1.75314400
5.91312818	-1.73361000
5.91337819	-1.73849300
5.91362821	-1.72872700
5.91387822	-1.72384300
5.91412824	-1.72872700
5.91437826	-1.73849300
5.91462827	-1.73361000
5.91487829	-1.73849300
5.91512830	-1.73849300
5.91537832	-1.72872700
5.91562834	-1.71896000
5.91587835	-1.73361000
5.91612837	-1.72384300
5.91637838	-1.74337700
5.91662840	-1.71896000
5.91687842	-1.73361000
5.91712843	-1.74337700
5.91737845	-1.74337700
5.91762846	-1.73361000
5.91787848	-1.72872700
5.91812850	-1.73361000
5.91837851	-1.74826000
5.91862853	-1.73849300
5.91887854	-1.72872700
5.91912856	-1.72872700
5.91937858	-1.71896000
5.91962859	-1.73361000
5.91987861	-1.72872700
5.92012862	-1.74826000
5.92037864	-1.72872700
5.92062866	-1.74337700
5.92087867	-1.72384300
5.92112869	-1.73361000
5.92137870	-1.73361000
5.92162872	-1.72872700
5.92187874	-1.73361000
5.92212875	-1.73849300
5.92237877	-1.72872700
5.92262878	-1.73361000
5.92287880	-1.71896000
5.92312882	-1.72872700
5.92337883	-1.73849300
5.92362885	-1.71896000
5.92387886	-1.73361000
5.92412888	-1.71407600
5.92437890	-1.73361000
5.92462891	-1.73849300
5.92487893	-1.72872700
5.92512894	-1.72872700
5.92537896	-1.74337700
5.92562898	-1.72872700
5.92587899	-1.73361000
5.92612901	-1.73849300
5.92637902	-1.73361000
5.92662904	-1.73361000
5.92687906	-1.74337700
5.92712907	-1.70919300
5.92737909	-1.72872700
5.92762910	-1.73849300
5.92787912	-1.73361000
5.92812914	-1.71896000
5.92837915	-1.72872700
5.92862917	-1.72384300
5.92887918	-1.72872700
5.92912920	-1.74337700
5.92937922	-1.73849300
5.92962923	-1.73849300
5.92987925	-1.73361000
5.93012926	-1.74337700
5.93037928	-1.71896000
5.93062930	-1.71407600
5.93087931	-1.73361000
5.93112933	-1.72384300
5.93137934	-1.73361000
5.93162936	-1.72872700
5.93187938	-1.73849300
5.93212939	-1.71896000
5.93237941	-1.72872700
5.93262942	-1.72872700
5.93287944	-1.72872700
5.93312946	-1.72872700
5.93337947	-1.73361000
5.93362949	-1.74337700
5.93387950	-1.72384300
5.93412952	-1.74337700
5.93437954	-1.73849300
5.93462955	-1.72872700
5.93487957	-1.72872700
5.93512958	-1.72384300
5.93537960	-1.72872700
5.93562962	-1.74337700
5.93587963	-1.73849300
5.93612965	-1.71407600
5.93637966	-1.72384300
5.93662968	-1.73849300
5.93687970	-1.74337700
5.93712971	-1.75314400
5.93737973	-1.74337700
5.93762974	-1.71407600
5.93787976	-1.71896000
5.93812978	-1.74826000
5.93837979	-1.71896000
5.93862981	-1.72384300
5.93887982	-1.73849300
5.93912984	-1.73849300
5.93937986	-1.74337700
5.93962987	-1.75314400
5.93987989	-1.73361000
5.94012990	-1.72872700
5.94037992	-1.74826000
5.94062994	-1.72872700
5.94087995	-1.72872700
5.94112997	-1.72872700
5.94137998	-1.71896000
5.94163000	-1.74826000
5.94188002	-1.72872700
5.94213003	-1.74337700
5.94238005	-1.73849300
5.94263006	-1.71896000
5.94288008	-1.72872700
5.94313010	-1.72872700
5.94338011	-1.74337700
5.94363013	-1.73361000
5.94388014	-1.73361000
5.94413016	-1.72872700
5.94438018	-1.72872700
5.94463019	-1.72872700
5.94488021	-1.73849300
5.94513022	-1.72872700
5.94538024	-1.72872700
5.94563026	-1.73849300
5.94588027	-1.74337700
5.94613029	-1.73361000
5.94638030	-1.72872700
5.94663032	-1.72384300
5.94688034	-1.73361000
5.94713035	-1.73849300
5.94738037	-1.72384300
5.94763038	-1.70919300
5.94788040	-1.74337700
5.94813042	-1.73849300
5.94838043	-1.70919300
5.94863045	-1.73849300
5.94888046	-1.71407600
5.94913048	-1.72872700
5.94938050	-1.73849300
5.94963051	-1.73849300
5.94988053	-1.73361000
5.95013054	-1.72384300
5.95038056	-1.74826000
5.95063058	-1.72384300
5.95088059	-1.72872700
5.95113061	-1.73849300
5.95138062	-1.73849300
5.95163064	-1.71896000
5.95188066	-1.73849300
5.95213067	-1.73361000
5.95238069	-1.73361000
5.95263070	-1.73849300
5.95288072	-1.73849300
5.95313073	-1.72872700
5.95338075	-1.73361000
5.95363077	-1.74826000
5.95388078	-1.73361000
5.95413080	-1.72384300
5.95438081	-1.72872700
5.95463083	-1.72872700
5.95488085	-1.72872700
5.95513086	-1.73849300
5.95538088	-1.73361000
5.95563089	-1.74826000
5.95588091	-1.72384300
5.95613093	-1.73361000
5.95638094	-1.72384300
5.95663096	-1.73849300
5.95688097	-1.73361000
5.95713099	-1.72872700
5.95738101	-1.72872700
5.95763102	-1.73361000
5.95788104	-1.72384300
5.95813105	-1.73849300
5.95838107	-1.73849300
5.95863109	-1.74337700
5.95888110	-1.72384300
5.95913112	-1.71896000
5.95938113	-1.74337700
5.95963115	-1.73849300
5.95988117	-1.73361000
5.96013118	-1.72384300
5.96038120	-1.73849300
5.96063121	-1.73361000
5.96088123	-1.73849300
5.96113125	-1.73849300
5.96138126	-1.73849300
5.96163128	-1.73361000
5.96188129	-1.72872700
5.96213131	-1.71896000
5.96238133	-1.73849300
5.96263134	-1.72384300
5.96288136	-1.74337700
5.96313137	-1.74337700
5.96338139	-1.73849300
5.96363141	-1.73361000
5.96388142	-1.73361000
5.96413144	-1.73361000
5.96438145	-1.72872700
5.96463147	-1.73849300
5.96488149	-1.72872700
5.96513150	-1.72384300
5.96538152	-1.72872700
5.96563153	-1.73849300
5.96588155	-1.71896000
5.96613157	-1.72384300
5.96638158	-1.74826000
5.96663160	-1.73849300
5.96688161	-1.73361000
5.96713163	-1.73361000
5.96738165	-1.72384300
5.96763166	-1.72872700
5.96788168	-1.72872700
5.96813169	-1.72872700
5.96838171	-1.72872700
5.96863173	-1.71896000
5.96888174	-1.73849300
5.96913176	-1.73361000
5.96938177	-1.72872700
5.96963179	-1.74826000
5.96988181	-1.73849300
5.97013182	-1.72872700
5.97038184	-1.73849300
5.97063185	-1.72384300
5.97088187	-1.72872700
5.97113189	-1.73849300
5.97138190	-1.71896000
5.97163192	-1.71896000
5.97188193	-1.71896000
5.97213195	-1.73849300
5.97238197	-1.73849300
5.97263198	-1.73361000
5.97288200	-1.72384300
5.97313201	-1.72384300
5.97338203	-1.73361000
5.97363205	-1.73361000
5.97388206	-1.72384300
5.97413208	-1.73849300
5.97438209	-1.72872700
5.97463211	-1.74826000
5.97488213	-1.73849300
5.97513214	-1.73849300
5.97538216	-1.74826000
5.97563217	-1.74337700
5.97588219	-1.72384300
5.97613221	-1.73361000
5.97638222	-1.73849300
5.97663224	-1.73361000
5.97688225	-1.71896000
5.97713227	-1.73361000
5.97738229	-1.74337700
5.97763230	-1.75314400
5.97788232	-1.74826000
5.97813233	-1.73361000
5.97838235	-1.73361000
5.97863237	-1.72872700
5.97888238	-1.72384300
5.97913240	-1.73849300
5.97938241	-1.73361000
5.97963243	-1.72872700
5.97988245	-1.72872700
5.98013246	-1.74337700
5.98038248	-1.73361000
5.98063249	-1.73361000
5.98088251	-1.75314400
5.98113253	-1.73849300
5.98138254	-1.71407600
5.98163256	-1.74337700
5.98188257	-1.73361000
5.98213259	-1.72384300
5.98238261	-1.73361000
5.98263262	-1.73849300
5.98288264	-1.72384300
5.98313265	-1.73361000
5.98338267	-1.74826000
5.98363269	-1.74337700
5.98388270	-1.74826000
5.98413272	-1.72384300
5.98438273	-1.73849300
5.98463275	-1.72872700
5.98488277	-1.74337700
5.98513278	-1.73849300
5.98538280	-1.73361000
5.98563281	-1.73361000
5.98588283	-1.73361000
5.98613285	-1.74337700
5.98638286	-1.72384300
5.98663288	-1.73361000
5.98688289	-1.72872700
5.98713291	-1.72384300
5.98738293	-1.73361000
5.98763294	-1.73361000
5.98788296	-1.72384300
5.98813297	-1.73361000
5.98838299	-1.75314400
5.98863301	-1.73361000
5.98888302	-1.71407600
5.98913304	-1.71407600
5.98938305	-1.73849300
5.98963307	-1.74337700
5.98988309	-1.71896000
5.99013310	-1.73849300
5.99038312	-1.73361000
5.99063313	-1.72872700
5.99088315	-1.72872700
5.99113317	-1.72384300
5.99138318	-1.73361000
5.99163320	-1.74337700
5.99188321	-1.72872700
5.99213323	-1.73361000
5.99238325	-1.72384300
5.99263326	-1.74826000
5.99288328	-1.73361000
5.99313329	-1.74337700
5.99338331	-1.72384300
5.99363333	-1.72384300
5.99388334	-1.71896000
5.99413336	-1.72384300
5.99438337	-1.73361000
5.99463339	-1.73361000
5.99488341	-1.72384300
5.99513342	-1.72384300
5.99538344	-1.72872700
5.99563345	-1.73361000
5.99588347	-1.72872700
5.99613349	-1.72872700
5.99638350	-1.73361000
5.99663352	-1.73849300
5.99688353	-1.75802700
5.99713355	-1.74337700
5.99738357	-1.71407600
5.99763358	-1.73849300
5.99788360	-1.73849300
5.99813361	-1.74826000
5.99838363	-1.73849300
5.99863365	-1.72872700
5.99888366	-1.73849300
5.99913368	-1.72384300
5.99938369	-1.74337700
5.99963371	-1.72872700
5.99988373	-1.72872700
6.00013374	-1.73849300
6.00038376	-1.73849300
6.00063377	-1.72872700
6.00088379	-1.72872700
6.00113381	-1.73849300
6.00138382	-1.72384300
6.00163384	-1.73361000
6.00188385	-1.72872700
6.00213387	-1.72384300
6.00238388	-1.71407600
6.00263390	-1.72384300
6.00288392	-1.74337700
6.00313393	-1.73849300
6.00338395	-1.73361000
6.00363396	-1.73361000
6.00388398	-1.72872700
6.00413400	-1.73849300
6.00438401	-1.72384300
6.00463403	-1.73849300
6.00488404	-1.72384300
6.00513406	-1.73849300
6.00538408	-1.72872700
6.00563409	-1.72872700
6.00588411	-1.73849300
6.00613412	-1.73849300
6.00638414	-1.73361000
6.00663416	-1.74337700
6.00688417	-1.73849300
6.00713419	-1.73361000
6.00738420	-1.74826000
6.00763422	-1.72872700
6.00788424	-1.72872700
6.00813425	-1.72872700
6.00838427	-1.74337700
6.00863428	-1.71896000
6.00888430	-1.70919300
6.00913432	-1.72872700
6.00938433	-1.72872700
6.00963435	-1.72872700
6.00988436	-1.73361000
6.01013438	-1.72872700
6.01038440	-1.73849300
6.01063441	-1.73849300
6.01088443	-1.73361000
6.01113444	-1.71896000
6.01138446	-1.73361000
6.01163448	-1.73361000
6.01188449	-1.72872700
6.01213451	-1.73849300
6.01238452	-1.74337700
6.01263454	-1.73361000
6.01288456	-1.71896000
6.01313457	-1.73849300
6.01338459	-1.73361000
6.01363460	-1.74337700
6.01388462	-1.73849300
6.01413464	-1.73849300
6.01438465	-1.73361000
6.01463467	-1.73849300
6.01488468	-1.72872700
6.01513470	-1.73361000
6.01538472	-1.72872700
6.01563473	-1.71896000
6.01588475	-1.72872700
6.01613476	-1.72384300
6.01638478	-1.70919300
6.01663480	-1.73361000
6.01688481	-1.73849300
6.01713483	-1.73361000
6.01738484	-1.73361000
6.01763486	-1.73361000
6.01788488	-1.72384300
6.01813489	-1.73849300
6.01838491	-1.72384300
6.01863492	-1.72872700
6.01888494	-1.75314400
6.01913496	-1.74337700
6.01938497	-1.73361000
6.01963499	-1.73361000
6.01988500	-1.72384300
6.02013502	-1.73849300
6.02038504	-1.72384300
6.02063505	-1.73849300
6.02088507	-1.73361000
6.02113508	-1.72872700
6.02138510	-1.72872700
6.02163512	-1.72872700
6.02188513	-1.73361000
6.02213515	-1.72384300
6.02238516	-1.72384300
6.02263518	-1.71407600
6.02288520	-1.71896000
6.02313521	-1.72384300
6.02338523	-1.72872700
6.02363524	-1.74337700
6.02388526	-1.72872700
6.02413528	-1.73849300
6.02438529	-1.71896000
6.02463531	-1.71896000
6.02488532	-1.73361000
6.02513534	-1.71896000
6.02538536	-1.73361000
6.02563537	-1.70919300
6.02588539	-1.74826000
6.02613540	-1.73361000
6.02638542	-1.72384300
6.02663544	-1.73361000
6.02688545	-1.72384300
6.02713547	-1.72872700
6.02738548	-1.73361000
6.02763550	-1.73361000
6.02788552	-1.72384300
6.02813553	-1.73361000
6.02838555	-1.74337700
6.02863556	-1.72384300
6.02888558	-1.72872700
6.02913560	-1.73361000
6.02938561	-1.73361000
6.02963563	-1.73361000
